Tag Name,json Object ID,Data Type,Respect Data Type,Client Access,comment
View_TagName.F1FBSBHM_HVAPV_DISC_TEST_01,Channel2.Device1.View_TagName.F1FBSBHM_HVAPV_DISC_TEST_01,,,,F1FBSBHM_HVAPV_DISC_TEST_01
View_TagName.F1FBSBHM_HVAPV_DISC_TEST_02,Channel2.Device1.View_TagName.F1FBSBHM_HVAPV_DISC_TEST_02,,,,F1FBSBHM_HVAPV_DISC_TEST_02
View_TagName.F1FBSBHM_HVAPV_INT_TEST_01,Channel2.Device1.View_TagName.F1FBSBHM_HVAPV_INT_TEST_01,,,,F1FBSBHM_HVAPV_INT_TEST_01
View_TagName.F1FBSBHM_HVAPV_INT_TEST_02,Channel2.Device1.View_TagName.F1FBSBHM_HVAPV_INT_TEST_02,,,,F1FBSBHM_HVAPV_INT_TEST_02
View_TagName.F1FBSBHM_HVAPV_FLOAT_TEST_01,Channel2.Device1.View_TagName.F1FBSBHM_HVAPV_FLOAT_TEST_01,,,,F1FBSBHM_HVAPV_FLOAT_TEST_01
View_TagName.F1FBSBHM_HVAPV_FLOAT_TEST_02,Channel2.Device1.View_TagName.F1FBSBHM_HVAPV_FLOAT_TEST_02,,,,F1FBSBHM_HVAPV_FLOAT_TEST_02
View_TagName.TEST1TAG,Channel2.Device1.View_TagName.TEST1TAG,,,,TEST1TAG
View_TagName.TEST2TAG,Channel2.Device1.View_TagName.TEST2TAG,,,,TEST2TAG
View_TagName.F1FBSBHM_WMTCW_PP_001_EV20A_T,Channel2.Device1.View_TagName.F1FBSBHM_WMTCW_PP_001_EV20A_T,,,,F1FBSBHM_WMTCW_PP_001_EV20A_T
View_TagName.F1FBSBHM_WMTCW_PP_001_EV20A_R,Channel2.Device1.View_TagName.F1FBSBHM_WMTCW_PP_001_EV20A_R,,,,F1FBSBHM_WMTCW_PP_001_EV20A_R
View_TagName.F1FBSBHM_WMTCW_PP_002_EV20A_T,Channel2.Device1.View_TagName.F1FBSBHM_WMTCW_PP_002_EV20A_T,,,,F1FBSBHM_WMTCW_PP_002_EV20A_T
View_TagName.F1FBSBHM_WMTCW_PP_002_EV20A_R,Channel2.Device1.View_TagName.F1FBSBHM_WMTCW_PP_002_EV20A_R,,,,F1FBSBHM_WMTCW_PP_002_EV20A_R
View_TagName.F1FBSBHM_WMTCW_PP_000_TCV01A_CV,Channel2.Device1.View_TagName.F1FBSBHM_WMTCW_PP_000_TCV01A_CV,,,,F1FBSBHM_WMTCW_PP_000_TCV01A_CV
View_TagName.F1FBSBHM_WMTCW_00_100_PDT20A,Channel2.Device1.View_TagName.F1FBSBHM_WMTCW_00_100_PDT20A,,,,F1FBSBHM_WMTCW_00_100_PDT20A
View_TagName.F1FBSBHM_WMTCW_00_100_PDT20B,Channel2.Device1.View_TagName.F1FBSBHM_WMTCW_00_100_PDT20B,,,,F1FBSBHM_WMTCW_00_100_PDT20B
View_TagName.F1FBSBH1_WLTCW_CH_001_FCV01A_CV,Channel2.Device1.View_TagName.F1FBSBH1_WLTCW_CH_001_FCV01A_CV,,,,F1FBSBH1_WLTCW_CH_001_FCV01A_CV
View_TagName.F1FBSBH1_WLTCW_CH_002_FCV01A_CV,Channel2.Device1.View_TagName.F1FBSBH1_WLTCW_CH_002_FCV01A_CV,,,,F1FBSBH1_WLTCW_CH_002_FCV01A_CV
View_TagName.F1FBOFA2_WLTCW_00_100_PDT20A,Channel2.Device1.View_TagName.F1FBOFA2_WLTCW_00_100_PDT20A,,,,F1FBOFA2_WLTCW_00_100_PDT20A
View_TagName.F1FBOFA2_WLTCW_00_100_PDT20B,Channel2.Device1.View_TagName.F1FBOFA2_WLTCW_00_100_PDT20B,,,,F1FBOFA2_WLTCW_00_100_PDT20B
View_TagName.F1FBSBH1_WLTCW_CH_000_FIT10A,Channel2.Device1.View_TagName.F1FBSBH1_WLTCW_CH_000_FIT10A,,,,F1FBSBH1_WLTCW_CH_000_FIT10A
View_TagName.F1FBSBH1_WLTCW_CH_000_FIT90A,Channel2.Device1.View_TagName.F1FBSBH1_WLTCW_CH_000_FIT90A,,,,F1FBSBH1_WLTCW_CH_000_FIT90A
View_TagName.F1FBSBH1_WLTCW_CH_000_TT10A,Channel2.Device1.View_TagName.F1FBSBH1_WLTCW_CH_000_TT10A,,,,F1FBSBH1_WLTCW_CH_000_TT10A
View_TagName.F1FBSBH1_WLTCW_CH_000_TT90A,Channel2.Device1.View_TagName.F1FBSBH1_WLTCW_CH_000_TT90A,,,,F1FBSBH1_WLTCW_CH_000_TT90A
View_TagName.F1FBOFE2_WHRWO_PP_001_PP20A_T,Channel2.Device1.View_TagName.F1FBOFE2_WHRWO_PP_001_PP20A_T,,,,F1FBOFE2_WHRWO_PP_001_PP20A_T
View_TagName.F1FBOFE2_WHRWO_PP_001_PP20A_R,Channel2.Device1.View_TagName.F1FBOFE2_WHRWO_PP_001_PP20A_R,,,,F1FBOFE2_WHRWO_PP_001_PP20A_R
View_TagName.F1FBOFE2_WHRWO_PP_002_PP20A_T,Channel2.Device1.View_TagName.F1FBOFE2_WHRWO_PP_002_PP20A_T,,,,F1FBOFE2_WHRWO_PP_002_PP20A_T
View_TagName.F1FBOFE2_WHRWO_PP_002_PP20A_R,Channel2.Device1.View_TagName.F1FBOFE2_WHRWO_PP_002_PP20A_R,,,,F1FBOFE2_WHRWO_PP_002_PP20A_R
View_TagName.F1FBOFE2_WHRWO_RW_001_TCV01A_CV,Channel2.Device1.View_TagName.F1FBOFE2_WHRWO_RW_001_TCV01A_CV,,,,F1FBOFE2_WHRWO_RW_001_TCV01A_CV
View_TagName.F1FBOFE2_WHRWO_00_100_PDT20A,Channel2.Device1.View_TagName.F1FBOFE2_WHRWO_00_100_PDT20A,,,,F1FBOFE2_WHRWO_00_100_PDT20A
View_TagName.F1FBOFE2_WHRWO_RW_001_TT10A,Channel2.Device1.View_TagName.F1FBOFE2_WHRWO_RW_001_TT10A,,,,F1FBOFE2_WHRWO_RW_001_TT10A
View_TagName.F1FBOFE2_WHRWO_00_100_PDT20B,Channel2.Device1.View_TagName.F1FBOFE2_WHRWO_00_100_PDT20B,,,,F1FBOFE2_WHRWO_00_100_PDT20B
View_TagName.F1FBOFE2_WHRWO_SW_001_TT90A,Channel2.Device1.View_TagName.F1FBOFE2_WHRWO_SW_001_TT90A,,,,F1FBOFE2_WHRWO_SW_001_TT90A
View_TagName.F1FBFBF1_RCUAS_RU_002_ES20E,Channel2.Device1.View_TagName.F1FBFBF1_RCUAS_RU_002_ES20E,,,,F1FBFBF1_RCUAS_RU_002_ES20E
View_TagName.F1FBFBF1_RCUAS_RU_002_T,Channel2.Device1.View_TagName.F1FBFBF1_RCUAS_RU_002_T,,,,F1FBFBF1_RCUAS_RU_002_T
View_TagName.F1FBFBF1_RCUAS_RU_003_ES20E,Channel2.Device1.View_TagName.F1FBFBF1_RCUAS_RU_003_ES20E,,,,F1FBFBF1_RCUAS_RU_003_ES20E
View_TagName.F1FBFBF1_RCUAS_RU_003_T,Channel2.Device1.View_TagName.F1FBFBF1_RCUAS_RU_003_T,,,,F1FBFBF1_RCUAS_RU_003_T
View_TagName.F1FBFBF1_RCUAS_RU_004_ES20E,Channel2.Device1.View_TagName.F1FBFBF1_RCUAS_RU_004_ES20E,,,,F1FBFBF1_RCUAS_RU_004_ES20E
View_TagName.F1FBFBF1_RCUAS_RU_004_T,Channel2.Device1.View_TagName.F1FBFBF1_RCUAS_RU_004_T,,,,F1FBFBF1_RCUAS_RU_004_T
View_TagName.F1FBFBF1_RCUAS_RU_005_ES20E,Channel2.Device1.View_TagName.F1FBFBF1_RCUAS_RU_005_ES20E,,,,F1FBFBF1_RCUAS_RU_005_ES20E
View_TagName.F1FBFBF1_RCUAS_RU_005_T,Channel2.Device1.View_TagName.F1FBFBF1_RCUAS_RU_005_T,,,,F1FBFBF1_RCUAS_RU_005_T
View_TagName.F1FBFBF1_RCUAS_RU_006_ES20E,Channel2.Device1.View_TagName.F1FBFBF1_RCUAS_RU_006_ES20E,,,,F1FBFBF1_RCUAS_RU_006_ES20E
View_TagName.F1FBFBF1_RCUAS_RU_006_T,Channel2.Device1.View_TagName.F1FBFBF1_RCUAS_RU_006_T,,,,F1FBFBF1_RCUAS_RU_006_T
View_TagName.F1FBFBF1_RCUAS_RU_007_ES20E,Channel2.Device1.View_TagName.F1FBFBF1_RCUAS_RU_007_ES20E,,,,F1FBFBF1_RCUAS_RU_007_ES20E
View_TagName.F1FBFBF1_RCUAS_RU_007_T,Channel2.Device1.View_TagName.F1FBFBF1_RCUAS_RU_007_T,,,,F1FBFBF1_RCUAS_RU_007_T
View_TagName.F1FBFBG1_RCUAS_RU_002_ES20E,Channel2.Device1.View_TagName.F1FBFBG1_RCUAS_RU_002_ES20E,,,,F1FBFBG1_RCUAS_RU_002_ES20E
View_TagName.F1FBFBG1_RCUAS_RU_002_T,Channel2.Device1.View_TagName.F1FBFBG1_RCUAS_RU_002_T,,,,F1FBFBG1_RCUAS_RU_002_T
View_TagName.F1FBFBG1_RCUAS_RU_004_ES20E,Channel2.Device1.View_TagName.F1FBFBG1_RCUAS_RU_004_ES20E,,,,F1FBFBG1_RCUAS_RU_004_ES20E
View_TagName.F1FBFBG1_RCUAS_RU_004_T,Channel2.Device1.View_TagName.F1FBFBG1_RCUAS_RU_004_T,,,,F1FBFBG1_RCUAS_RU_004_T
View_TagName.F1FBFBG1_RCUAS_RU_006_ES20E,Channel2.Device1.View_TagName.F1FBFBG1_RCUAS_RU_006_ES20E,,,,F1FBFBG1_RCUAS_RU_006_ES20E
View_TagName.F1FBFBG1_RCUAS_RU_006_T,Channel2.Device1.View_TagName.F1FBFBG1_RCUAS_RU_006_T,,,,F1FBFBG1_RCUAS_RU_006_T
View_TagName.F1FBFBF1_RCUAS_RU_002_TT10A,Channel2.Device1.View_TagName.F1FBFBF1_RCUAS_RU_002_TT10A,,,,F1FBFBF1_RCUAS_RU_002_TT10A
View_TagName.F1FBFBF1_RCUAS_RU_003_TT10A,Channel2.Device1.View_TagName.F1FBFBF1_RCUAS_RU_003_TT10A,,,,F1FBFBF1_RCUAS_RU_003_TT10A
View_TagName.F1FBFBF1_RCUAS_RU_004_TT10A,Channel2.Device1.View_TagName.F1FBFBF1_RCUAS_RU_004_TT10A,,,,F1FBFBF1_RCUAS_RU_004_TT10A
View_TagName.F1FBFBF1_RCUAS_RU_005_TT10A,Channel2.Device1.View_TagName.F1FBFBF1_RCUAS_RU_005_TT10A,,,,F1FBFBF1_RCUAS_RU_005_TT10A
View_TagName.F1FBFBF1_RCUAS_RU_006_TT10A,Channel2.Device1.View_TagName.F1FBFBF1_RCUAS_RU_006_TT10A,,,,F1FBFBF1_RCUAS_RU_006_TT10A
View_TagName.F1FBFBF1_RCUAS_RU_007_TT10A,Channel2.Device1.View_TagName.F1FBFBF1_RCUAS_RU_007_TT10A,,,,F1FBFBF1_RCUAS_RU_007_TT10A
View_TagName.F1FBFBG1_RCUAS_RU_002_TT10A,Channel2.Device1.View_TagName.F1FBFBG1_RCUAS_RU_002_TT10A,,,,F1FBFBG1_RCUAS_RU_002_TT10A
View_TagName.F1FBFBG1_RCUAS_RU_004_TT10A,Channel2.Device1.View_TagName.F1FBFBG1_RCUAS_RU_004_TT10A,,,,F1FBFBG1_RCUAS_RU_004_TT10A
View_TagName.F1FBFBG1_RCUAS_RU_006_TT10A,Channel2.Device1.View_TagName.F1FBFBG1_RCUAS_RU_006_TT10A,,,,F1FBFBG1_RCUAS_RU_006_TT10A
View_TagName.F1FBSBHM_HVAPV_PP_002_ES90E,Channel2.Device1.View_TagName.F1FBSBHM_HVAPV_PP_002_ES90E,,,,F1FBSBHM_HVAPV_PP_002_ES90E
View_TagName.F1FBSBHM_HVAPV_PP_002_QS90F,Channel2.Device1.View_TagName.F1FBSBHM_HVAPV_PP_002_QS90F,,,,F1FBSBHM_HVAPV_PP_002_QS90F
View_TagName.F1FBSBHM_HVAPV_PP_003_QS90F,Channel2.Device1.View_TagName.F1FBSBHM_HVAPV_PP_003_QS90F,,,,F1FBSBHM_HVAPV_PP_003_QS90F
View_TagName.F1FBSBHM_HVAPV_PP_003_ES90E,Channel2.Device1.View_TagName.F1FBSBHM_HVAPV_PP_003_ES90E,,,,F1FBSBHM_HVAPV_PP_003_ES90E
View_TagName.F1FBSBHM_HVAPV_SM_001_FT00A,Channel2.Device1.View_TagName.F1FBSBHM_HVAPV_SM_001_FT00A,,,,F1FBSBHM_HVAPV_SM_001_FT00A
View_TagName.F1FBSBHM_HVAPV_SM_001_PT00A,Channel2.Device1.View_TagName.F1FBSBHM_HVAPV_SM_001_PT00A,,,,F1FBSBHM_HVAPV_SM_001_PT00A
View_TagName.F1FBSBHM_HVAPV_X0_100_PIT01A,Channel2.Device1.View_TagName.F1FBSBHM_HVAPV_X0_100_PIT01A,,,,F1FBSBHM_HVAPV_X0_100_PIT01A
View_TagName.F1FBSBHM_HVAPV_X0_100_PIT01B,Channel2.Device1.View_TagName.F1FBSBHM_HVAPV_X0_100_PIT01B,,,,F1FBSBHM_HVAPV_X0_100_PIT01B
View_TagName.F1FBSBHM_HVACP_AC_002_AC20A_T,Channel2.Device1.View_TagName.F1FBSBHM_HVACP_AC_002_AC20A_T,,,,F1FBSBHM_HVACP_AC_002_AC20A_T
View_TagName.F1FBSBHM_HVACP_AC_002_AC20A_R,Channel2.Device1.View_TagName.F1FBSBHM_HVACP_AC_002_AC20A_R,,,,F1FBSBHM_HVACP_AC_002_AC20A_R
View_TagName.F1FBSBHM_HVACP_SM_001_AIT10A,Channel2.Device1.View_TagName.F1FBSBHM_HVACP_SM_001_AIT10A,,,,F1FBSBHM_HVACP_SM_001_AIT10A
View_TagName.F1FBSBHM_HVACP_SM_001_FIT10A,Channel2.Device1.View_TagName.F1FBSBHM_HVACP_SM_001_FIT10A,,,,F1FBSBHM_HVACP_SM_001_FIT10A
View_TagName.F1FBSBHM_HVACP_SM_001_MT10A,Channel2.Device1.View_TagName.F1FBSBHM_HVACP_SM_001_MT10A,,,,F1FBSBHM_HVACP_SM_001_MT10A
View_TagName.F1FBSBHM_HVACP_SM_001_PT10A,Channel2.Device1.View_TagName.F1FBSBHM_HVACP_SM_001_PT10A,,,,F1FBSBHM_HVACP_SM_001_PT10A
View_TagName.F1FBSBHM_HVACP_SM_001_TT10A,Channel2.Device1.View_TagName.F1FBSBHM_HVACP_SM_001_TT10A,,,,F1FBSBHM_HVACP_SM_001_TT10A
View_TagName.F1FBSBHM_HVACP_TK_001_PT02A,Channel2.Device1.View_TagName.F1FBSBHM_HVACP_TK_001_PT02A,,,,F1FBSBHM_HVACP_TK_001_PT02A
View_TagName.F1FBSBHM_HVACP_X0_100_PIT01A,Channel2.Device1.View_TagName.F1FBSBHM_HVACP_X0_100_PIT01A,,,,F1FBSBHM_HVACP_X0_100_PIT01A
View_TagName.F1FBSBHM_HVACP_X0_100_PIT01B,Channel2.Device1.View_TagName.F1FBSBHM_HVACP_X0_100_PIT01B,,,,F1FBSBHM_HVACP_X0_100_PIT01B
View_TagName.F1FBSBHM_EXHGE_FN_001_FN20A_T,Channel2.Device1.View_TagName.F1FBSBHM_EXHGE_FN_001_FN20A_T,,,,F1FBSBHM_EXHGE_FN_001_FN20A_T
